run	library	sample	include	project	date
2021-08_ac-colin_test_miseq	CCA4679	CCA4679	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA4854	CCA4854	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA4871	CCA4871	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA4902	CCA4902	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA5430	CCA5430	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA5487	CCA5487	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA100a	DDA100a	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA100c	DDA100c	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA100d	DDA100d	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA100f	DDA100f	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA100g	DDA100g	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA100	DDA100	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA114a	DDA114a	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA114b	DDA114b	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA114c	DDA114c	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA114d	DDA114d	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA114e	DDA114e	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA114	DDA114	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA117a	DDA117a	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA117d	DDA117d	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA117f	DDA117f	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA117g	DDA117g	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA117j	DDA117j	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA117	DDA117	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA120b	DDA120b	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA120d	DDA120d	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA120f	DDA120f	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA120g	DDA120g	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA120h	DDA120h	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA120	DDA120	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA121	DDA121	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA122a	DDA122a	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA122b	DDA122b	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA122c	DDA122c	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA122d	DDA122d	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA122e	DDA122e	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA122	DDA122	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA123b	DDA123b	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA123d	DDA123d	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA123e	DDA123e	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA123g	DDA123g	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA123j	DDA123j	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA123	DDA123	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA124b	DDA124b	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA124c	DDA124c	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA124d	DDA124d	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA124e	DDA124e	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA124h	DDA124h	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA124	DDA124	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA125b	DDA125b	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA125d	DDA125d	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA125dx	DDA125dx	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA125e	DDA125e	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA125f	DDA125f	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA125h	DDA125h	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA125	DDA125	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA126a	DDA126a	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA126b	DDA126b	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA126c	DDA126c	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA126e	DDA126e	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA126f	DDA126f	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA126	DDA126	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA127	DDA127	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA128a	DDA128a	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA128b	DDA128b	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA128	DDA128	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA129a	DDA129a	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA129c	DDA129c	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA129d	DDA129d	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA129f	DDA129f	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA129g	DDA129g	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA129	DDA129	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA130a	DDA130a	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA130c	DDA130c	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA130d	DDA130d	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA130f	DDA130f	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA130h	DDA130h	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA130	DDA130	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA131a	DDA131a	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA131d	DDA131d	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA131f	DDA131f	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA131g	DDA131g	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA131k	DDA131k	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA131	DDA131	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA132b	DDA132b	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA132c	DDA132c	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA132d	DDA132d	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	DDA132e	DDA132e	Y	AC_Phylo	4/08/2021
